# Chunk-averaged data for fix bowForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_bowComp
  13 42 1.05195
  14 42 0.750714
  15 42 -0.546091
  16 42 0.215642
  17 42 3.84442
  18 42 -1.5781
  19 42 1.0905
  20 42 0.725389
3700 20 840
  1 42 0.695091
  2 42 2.59124
  3 42 2.84299
  4 42 0.730442
  5 42 0.26557
  6 42 1.48224
  7 42 -1.20142
  8 42 1.15321
  9 42 2.4516
  10 42 -1.25751
  11 42 3.91522
  12 42 0.505652
  13 42 0.798375
  14 42 1.30753
  15 42 0.170362
  16 42 -2.7239
  17 42 -0.733701
  18 42 2.94207
  19 42 -1.67962
  20 42 -0.234449
3800 20 840
  1 42 2.72859
  2 42 -0.897894
  3 42 -0.860828
  4 42 -2.30931
  5 42 -1.57888
  6 42 -2.96637
  7 42 -0.544068
  8 42 1.74189
  9 42 3.0357
  10 42 0.122894
  11 42 0.47894
  12 42 -0.306408
  13 42 -2.29502
  14 42 -1.9698
  15 42 -2.29576
  16 42 2.66178
  17 42 -0.966037
  18 42 -1.02115
  19 42 -4.94846
  20 42 0.768127
3900 20 840
  1 42 3.77033
  2 42 -0.174308
  3 42 1.04659
  4 42 -2.06419
  5 42 1.57005
  6 42 1.67053
  7 42 3.37306
  8 42 0.861006
  9 42 1.19344
  10 42 -2.7528
  11 42 2.22255
  12 42 0.110094
  13 42 2.81674
  14 42 -0.844202
  15 42 0.637233
  16 42 -0.15704
  17 42 -1.40054
  18 42 -0.355887
  19 42 2.49808
  20 42 0.103419
4000 20 840
  1 42 0.0487027
  2 42 -1.14825
  3 42 1.50048
  4 42 -1.32738
  5 42 1.71798
  6 42 0.785658
  7 42 0.387703
  8 42 -0.939158
  9 42 -0.287071
  10 42 -3.18899
  11 42 -1.48986
  12 42 -2.75315
  13 42 4.53876
  14 42 -2.40333
  15 42 -1.65205
  16 42 -0.62242
  17 42 1.0588
  18 42 -1.72009
  19 42 0.900556
  20 42 -1.60131
4100 20 840
  1 42 1.50444
  2 42 0.224596
  3 42 0.506282
  4 42 0.157566
  5 42 2.22442
  6 42 0.0121558
  7 42 1.56534
  8 42 -0.459706
  9 42 1.8835
  10 42 0.642789
  11 42 0.413579
  12 42 -2.16084
  13 42 1.25313
  14 42 -1.56232
  15 42 1.75613
  16 42 -0.883318
  17 42 -0.599695
  18 42 -0.918628
  19 42 3.20361
  20 42 -2.72081
4200 20 840
  1 42 3.62682
  2 42 -1.65602
  3 42 1.36653
  4 42 0.998347
  5 42 -3.5857
  6 42 -1.19259
  7 42 -2.26173
  8 42 0.862716
  9 42 2.58136
  10 42 3.1404
  11 42 -0.69622
  12 42 -0.644095
  13 42 0.798655
  14 42 0.060273
  15 42 -1.00685
  16 42 -1.26061
  17 42 0.548151
  18 42 -0.395343
  19 42 0.811841
  20 42 -1.00455
4300 20 840
  1 42 -2.32584
  2 42 -1.44958
  3 42 -2.63658
  4 42 -0.854653
  5 42 -2.36108
  6 42 -2.116
  7 42 2.20161
  8 42 1.53216
  9 42 -1.38326
  10 42 1.2325
  11 42 -2.69176
  12 42 -1.99031
  13 42 1.8111
  14 42 0.807358
  15 42 -3.40354
  16 42 3.01485
  17 42 -0.860582
  18 42 -1.10882
  19 42 -3.51674
  20 42 5.37111
4400 20 840
  1 42 2.30667
  2 42 0.317354
  3 42 -0.113765
  4 42 -1.03422
  5 42 2.84759
  6 42 1.07782
  7 42 -0.928753
  8 42 -3.22682
  9 42 -1.94602
  10 42 -3.44602
  11 42 1.43223
  12 42 -0.85198
  13 42 -1.03725
  14 42 0.806093
  15 42 -0.439748
  16 42 0.757174
  17 42 0.340482
  18 42 0.540462
  19 42 -0.722974
  20 42 0.741791
4500 20 840
  1 42 -0.971284
  2 42 1.37532
  3 42 -5.12186
  4 42 1.18495
  5 42 -0.193018
  6 42 0.833453
  7 42 -5.67356
  8 42 -1.78601
  9 42 -0.0865904
  10 42 0.804042
  11 42 -0.260723
  12 42 -0.314383
  13 42 1.84548
  14 42 2.41898
  15 42 0.239185
  16 42 0.761045
  17 42 0.122675
  18 42 -1.20165
  19 42 -3.08447
  20 42 3.9064
4600 20 840
  1 42 -2.27422
  2 42 -0.00993511
  3 42 0.0708349
  4 42 2.98749
  5 42 -0.948022
  6 42 0.805006
  7 42 -2.35673
  8 42 -1.40161
  9 42 -0.941906
  10 42 1.13091
  11 42 -1.40461
  12 42 -0.988522
  13 42 -2.76387
  14 42 -0.783172
  15 42 -2.47985
  16 42 1.91487
  17 42 -3.08355
  18 42 0.723677
  19 42 -1.29344
  20 42 3.78097
4700 20 840
