# Chunk-averaged data for fix netEndForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netEndForce
  2 42 1.31843
  3 42 0.0255114
  4 42 -0.967012
  5 42 2.92139
  6 42 0.956805
  7 42 1.61068
  8 42 -0.0331397
  9 42 0.877286
  10 42 1.14386
  11 42 -0.565638
  12 42 -0.0493398
  13 42 0.346762
  14 42 0.50572
  15 42 -1.19742
  16 42 -1.57522
  17 42 0.260736
  18 42 0.277621
  19 42 -0.463946
  20 42 -0.354143
2900 20 840
  1 42 0.326536
  2 42 0.192633
  3 42 0.170097
  4 42 -0.156205
  5 42 0.609938
  6 42 -0.335168
  7 42 0.536618
  8 42 1.12956
  9 42 0.226395
  10 42 -1.67942
  11 42 0.40905
  12 42 0.475442
  13 42 1.13675
  14 42 -0.763069
  15 42 0.286651
  16 42 0.523426
  17 42 0.106208
  18 42 -1.05787
  19 42 0.53329
  20 42 -0.160583
3000 20 840
  1 42 -0.746875
  2 42 0.734581
  3 42 -0.96792
  4 42 0.461656
  5 42 1.7197
  6 42 1.83658
  7 42 -1.62187
  8 42 -0.378418
  9 42 1.30315
  10 42 -0.0336726
  11 42 0.340544
  12 42 1.54227
  13 42 0.144941
  14 42 -0.539345
  15 42 0.404511
  16 42 -1.28712
  17 42 -1.15102
  18 42 -0.363721
  19 42 0.588854
  20 42 -0.0202075
3100 20 840
  1 42 -1.46555
  2 42 1.22695
  3 42 0.301351
  4 42 0.0747338
  5 42 1.36519
  6 42 0.118616
  7 42 0.493715
  8 42 -0.11624
  9 42 -0.446242
  10 42 -0.390289
  11 42 -0.576148
  12 42 0.0112365
  13 42 -0.333876
  14 42 -0.714773
  15 42 -0.0654064
  16 42 -1.40614
  17 42 -0.585818
  18 42 0.376519
  19 42 0.594069
  20 42 -1.37259
3200 20 840
  1 42 0.562923
  2 42 -0.37556
  3 42 -0.300265
  4 42 0.284997
  5 42 -0.844427
  6 42 -0.584105
  7 42 -0.429684
  8 42 0.154407
  9 42 0.118742
  10 42 0.18858
  11 42 -0.77089
  12 42 -1.81944
  13 42 -0.255262
  14 42 -0.699758
  15 42 -0.958947
  16 42 0.985385
  17 42 -0.281199
  18 42 -1.25416
  19 42 -0.388961
  20 42 0.197669
3300 20 840
  1 42 0.032073
  2 42 0.686362
  3 42 -0.442676
  4 42 -1.81082
  5 42 -0.0419826
  6 42 1.0173
  7 42 -0.199288
  8 42 0.712797
  9 42 -0.383278
  10 42 0.940608
  11 42 0.324562
  12 42 0.576156
  13 42 -0.0977562
  14 42 -0.294544
  15 42 -0.886108
  16 42 -1.09487
  17 42 0.896318
  18 42 0.993545
  19 42 0.127563
  20 42 -0.658411
3400 20 840
  1 42 0.750864
  2 42 -0.337908
  3 42 0.779337
  4 42 0.413844
  5 42 1.83032
  6 42 1.20224
  7 42 -0.70016
  8 42 0.306498
  9 42 -1.28969
  10 42 -0.426814
  11 42 1.70257
  12 42 0.796968
  13 42 -0.686742
  14 42 0.0626481
  15 42 0.312878
  16 42 -0.516517
  17 42 -0.345032
  18 42 -0.353441
  19 42 0.868153
  20 42 0.444906
3500 20 840
  1 42 -0.711978
  2 42 -1.04255
  3 42 1.64025
  4 42 0.32431
  5 42 -0.907372
  6 42 -0.296228
  7 42 -0.929446
  8 42 1.0817
  9 42 -0.000529286
  10 42 0.644436
  11 42 0.419754
  12 42 0.813682
  13 42 0.717588
  14 42 0.159324
  15 42 -1.63189
  16 42 0.609466
  17 42 -0.0856891
  18 42 -0.7703
  19 42 0.444114
  20 42 2.97448
3600 20 840
  1 42 0.0292977
  2 42 0.103179
  3 42 0.483577
  4 42 -0.867876
  5 42 0.0657703
  6 42 -0.202034
  7 42 0.105346
  8 42 -0.548453
  9 42 -1.31005
  10 42 -0.873788
  11 42 -0.561112
  12 42 0.246557
  13 42 -0.526272
  14 42 0.7102
  15 42 -1.39521
  16 42 0.967916
  17 42 0.155461
  18 42 -0.0738769
  19 42 0.0139493
  20 42 0.389788
3700 20 840
  1 42 -1.08174
  2 42 -0.533004
  3 42 0.0934566
  4 42 0.280619
  5 42 -0.458459
  6 42 0.845218
  7 42 -0.851003
  8 42 -0.611851
  9 42 -1.79285
  10 42 -0.343639
  11 42 -0.464093
  12 42 0.301502
  13 42 0.174275
  14 42 0.209356
  15 42 0.995963
  16 42 -0.887233
  17 42 1.49354
  18 42 1.6178
  19 42 -0.657965
  20 42 -1.28324
3800 20 840
  1 42 0.514489
  2 42 0.731119
  3 42 0.31361
  4 42 -1.11955
  5 42 -0.432557
  6 42 -0.36583
  7 42 -1.79358
  8 42 1.87036
  9 42 1.92255
  10 42 0.625967
  11 42 -0.790279
  12 42 -1.45504
  13 42 -0.550573
  14 42 -0.737834
  15 42 -2.15656
  16 42 1.1682
  17 42 -0.589625
  18 42 -0.43894
  19 42 0.628836
  20 42 0.819623
3900 20 840
  1 42 -1.14303
  2 42 0.0912437
  3 42 -0.198604
  4 42 -0.946401
  5 42 0.988801
  6 42 0.153196
  7 42 -0.357611
  8 42 1.88541
  9 42 -0.0963672
  10 42 0.564877
  11 42 0.159054
  12 42 0.343072
  13 42 0.184522
  14 42 -0.144933
  15 42 0.648079
  16 42 -1.57121
  17 42 0.196515
  18 42 0.390631
  19 42 1.33322
  20 42 -0.375273
4000 20 840
  1 42 -0.250444
  2 42 1.76368
  3 42 -1.29704
  4 42 -0.944611
  5 42 1.45033
  6 42 0.0153801
  7 42 0.303099
  8 42 0.533935
  9 42 0.916633
