# Chunk-averaged data for fix sternForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_sternComp
  5 42 -0.584115
  6 42 -1.68303
  7 42 0.969711
  8 42 -0.989971
  9 42 0.619082
  10 42 0.144344
  11 42 -3.20588
  12 42 -2.10899
  13 42 0.296549
  14 42 -1.10052
  15 42 -1.27475
  16 42 -1.98092
  17 42 -0.426904
  18 42 -1.21275
  19 42 -2.28756
  20 42 -0.207588
3700 20 840
  1 42 -0.588676
  2 42 -1.15509
  3 42 -0.156894
  4 42 -0.357612
  5 42 2.51524
  6 42 -0.425939
  7 42 0.426154
  8 42 -1.53721
  9 42 0.18708
  10 42 -0.0759037
  11 42 -0.165609
  12 42 1.07244
  13 42 1.1901
  14 42 1.31775
  15 42 -1.90665
  16 42 1.42437
  17 42 -0.896683
  18 42 -0.525292
  19 42 0.557544
  20 42 0.35557
3800 20 840
  1 42 -0.54596
  2 42 0.350633
  3 42 -1.17721
  4 42 -0.230386
  5 42 -0.0565166
  6 42 -2.05981
  7 42 1.28191
  8 42 -2.10381
  9 42 0.995003
  10 42 0.414253
  11 42 1.10209
  12 42 0.865568
  13 42 -0.0746478
  14 42 -1.80922
  15 42 -1.22479
  16 42 -0.579121
  17 42 -0.350483
  18 42 -0.981615
  19 42 0.652653
  20 42 0.00278336
3900 20 840
  1 42 0.442196
  2 42 -0.169108
  3 42 0.450136
  4 42 0.608344
  5 42 -0.0492132
  6 42 -2.36728
  7 42 0.19759
  8 42 -0.484879
  9 42 -0.519042
  10 42 0.920171
  11 42 0.740385
  12 42 -2.00886
  13 42 -0.147536
  14 42 -1.47229
  15 42 0.337124
  16 42 -1.49362
  17 42 0.118795
  18 42 1.46019
  19 42 -0.0360976
  20 42 -1.25581
4000 20 840
  1 42 -0.599583
  2 42 0.241924
  3 42 -1.8952
  4 42 -1.12118
  5 42 -0.757484
  6 42 -1.94445
  7 42 0.12806
  8 42 0.296381
  9 42 -1.66417
  10 42 1.09611
  11 42 1.38874
  12 42 -0.171806
  13 42 -0.734956
  14 42 0.296769
  15 42 2.53501
  16 42 -2.36874
  17 42 -0.455562
  18 42 1.86714
  19 42 0.413661
  20 42 1.24448
4100 20 840
  1 42 -0.113326
  2 42 0.639763
  3 42 -1.75997
  4 42 -0.430415
  5 42 0.195444
  6 42 0.309344
  7 42 -1.64023
  8 42 0.513914
  9 42 -1.85102
  10 42 -0.62596
  11 42 1.87015
  12 42 -2.74777
  13 42 -0.788381
  14 42 0.802395
  15 42 -1.8236
  16 42 1.65341
  17 42 -0.980355
  18 42 1.01507
  19 42 -0.736038
  20 42 0.700502
4200 20 840
  1 42 -1.22563
  2 42 -0.192448
  3 42 -0.200092
  4 42 0.351908
  5 42 -2.03019
  6 42 -0.287677
  7 42 -1.61735
  8 42 0.425805
  9 42 -0.921252
  10 42 -0.638927
  11 42 -2.27671
  12 42 0.626026
  13 42 -1.61977
  14 42 0.524675
  15 42 0.745501
  16 42 -0.633617
  17 42 -1.55803
  18 42 -0.219794
  19 42 0.0410458
  20 42 0.438467
4300 20 840
  1 42 -0.397763
  2 42 -1.01147
  3 42 1.16325
  4 42 -1.20622
  5 42 -2.84721
  6 42 -0.594144
  7 42 -0.908505
  8 42 1.76177
  9 42 1.20996
  10 42 -0.596533
  11 42 -0.71763
