# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
  12 42 1.48783
  13 42 1.18648
  14 42 -1.9722
  15 42 1.49167
  16 42 0.692946
  17 42 3.04402
  18 42 -1.73601
  19 42 -1.31477
  20 42 2.88599
4700 20 840
  1 42 -0.934887
  2 42 -0.950002
  3 42 -2.29944
  4 42 1.17272
  5 42 1.54697
  6 42 -0.402468
  7 42 0.81664
  8 42 -1.6113
  9 42 -2.87478
  10 42 1.98827
  11 42 0.493082
  12 42 -0.333554
  13 42 -2.3728
  14 42 0.0688078
  15 42 -0.119009
  16 42 -0.23722
  17 42 1.40647
  18 42 1.29825
  19 42 0.443475
  20 42 2.07916
4800 20 840
  1 42 -0.782906
  2 42 0.106673
  3 42 -1.19772
  4 42 0.592388
  5 42 -0.776705
  6 42 1.27541
  7 42 0.935399
  8 42 -0.00641567
  9 42 -0.427754
  10 42 -0.38895
  11 42 0.798744
  12 42 -0.761813
  13 42 -1.85003
  14 42 -0.0225793
  15 42 -1.14741
  16 42 -2.95725
  17 42 -1.10934
  18 42 1.41902
  19 42 0.0927636
  20 42 -2.09928
4900 20 840
  1 42 0.526162
  2 42 -2.63509
  3 42 2.84066
  4 42 1.02176
  5 42 -1.19646
  6 42 1.61988
  7 42 1.18273
  8 42 0.952182
  9 42 2.1036
  10 42 0.934471
  11 42 -1.92912
  12 42 -1.19663
  13 42 -1.03278
  14 42 -1.88388
  15 42 -0.00960093
  16 42 0.506017
  17 42 0.648798
  18 42 -1.62994
  19 42 -1.14938
  20 42 1.20046
5000 20 840
  1 42 0.15868
  2 42 -1.67722
  3 42 0.763604
  4 42 0.484543
  5 42 -0.247255
  6 42 0.358841
  7 42 0.169614
  8 42 0.552473
  9 42 -0.300782
  10 42 3.33393
  11 42 0.26419
  12 42 -0.372626
  13 42 1.49327
  14 42 -1.51709
  15 42 0.335343
  16 42 -2.05198
  17 42 1.33884
  18 42 -0.874006
  19 42 -1.67436
  20 42 -0.264563
5100 20 840
  1 42 -0.289068
  2 42 0.0632784
  3 42 1.938
  4 42 0.890497
  5 42 0.376964
  6 42 -0.568065
  7 42 -0.348035
  8 42 -0.654004
  9 42 3.70365
  10 42 0.0999606
  11 42 2.83061
  12 42 -0.896291
  13 42 -1.07117
  14 42 1.81426
  15 42 -0.134584
  16 42 0.446308
  17 42 -1.14051
  18 42 -1.45585
  19 42 -0.209391
  20 42 -3.12018
5200 20 840
  1 42 -1.76897
  2 42 -0.38645
  3 42 0.0857924
  4 42 -1.03725
  5 42 -1.49973
  6 42 -0.844512
  7 42 -1.43285
  8 42 0.573155
  9 42 -0.65265
  10 42 -1.33792
  11 42 0.668387
  12 42 -1.86958
  13 42 -2.01873
  14 42 -0.491583
  15 42 1.62455
  16 42 2.5438
  17 42 -1.23988
  18 42 -0.741186
  19 42 -0.598699
  20 42 -0.395005
5300 20 840
  1 42 -1.77774
  2 42 0.241067
  3 42 -2.36377
  4 42 -0.000574688
  5 42 -1.00408
  6 42 1.0314
  7 42 -0.789651
  8 42 0.599495
  9 42 -2.91578
  10 42 -1.70542
  11 42 -0.177563
  12 42 0.280631
  13 42 -1.17585
  14 42 2.28715
  15 42 0.691206
  16 42 2.53264
  17 42 -1.56614
  18 42 -1.95006
  19 42 -1.16028
  20 42 -0.322626
5400 20 840
  1 42 -0.865994
  2 42 0.254014
  3 42 -1.63597
  4 42 -0.689833
  5 42 -1.34106
  6 42 1.2065
  7 42 -0.974409
  8 42 -0.421071
  9 42 -3.51459
  10 42 -2.12435
  11 42 1.82441
  12 42 -0.355776
  13 42 0.873849
  14 42 -1.09472
  15 42 -0.993362
  16 42 -1.84899
  17 42 -0.553649
  18 42 -1.50843
  19 42 -0.502896
  20 42 0.46712
5500 20 840
  1 42 -1.05675
  2 42 -0.96878
  3 42 -1.34034
  4 42 1.28918
  5 42 1.22865
  6 42 -0.126875
  7 42 -1.59988
  8 42 -2.59116
  9 42 0.597877
  10 42 -0.205203
  11 42 -3.19913
  12 42 -1.45575
  13 42 0.437613
  14 42 -2.26041
