# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
  18 32 0.0150854
  19 32 0.00376604
  20 32 0.0309093
3400 20 640
  1 32 0.180959
  2 32 -0.380677
  3 32 0.916998
  4 32 0.39231
  5 32 0.0746332
  6 32 0.173779
  7 32 -0.111459
  8 32 0.338791
  9 32 0.328719
  10 32 -0.0690124
  11 32 -0.236741
  12 32 0.712684
  13 32 0.862716
  14 32 -1.24358
  15 32 0.364252
  16 32 -0.10037
  17 32 0.38498
  18 32 0.757822
  19 32 0.0442968
  20 32 -0.527992
3500 20 640
  1 32 0.298041
  2 32 -0.370714
  3 32 1.34622
  4 32 0.793614
  5 32 0.412216
  6 32 0.5945
  7 32 0.344488
  8 32 0.736362
  9 32 -0.267219
  10 32 0.399903
  11 32 -0.181653
  12 32 1.23941
  13 32 1.63384
  14 32 -1.52857
  15 32 2.25701
  16 32 -1.86855
  17 32 0.486864
  18 32 1.5957
  19 32 -0.515516
  20 32 -0.991204
3600 20 640
  1 32 0.403076
  2 32 -0.0527395
  3 32 1.26133
  4 32 0.908777
  5 32 0.306054
  6 32 0.350318
  7 32 0.467944
  8 32 0.772563
  9 32 -0.873983
  10 32 0.873407
  11 32 -0.419648
  12 32 1.30604
  13 32 1.91266
  14 32 -1.25389
  15 32 3.71176
  16 32 -3.1711
  17 32 0.554201
  18 32 1.78137
  19 32 -0.658843
  20 32 -1.28855
3700 20 640
  1 32 0.22182
  2 32 0.0226875
  3 32 0.939546
  4 32 1.01672
  5 32 0.0185094
  6 32 0.228812
  7 32 0.062397
  8 32 0.534701
  9 32 -1.17513
  10 32 1.33917
  11 32 -0.50618
  12 32 1.12138
  13 32 1.99356
  14 32 -1.06082
  15 32 3.99376
  16 32 -3.38167
  17 32 -0.047946
  18 32 1.62787
  19 32 -1.01375
  20 32 -1.4314
3800 20 640
  1 32 0.0493889
  2 32 0.389523
  3 32 0.469787
  4 32 0.426178
  5 32 0.110167
  6 32 0.107673
  7 32 -0.572822
  8 32 0.457281
  9 32 -1.05818
  10 32 1.33343
  11 32 -0.463262
  12 32 0.854186
  13 32 2.32898
  14 32 -0.608771
  15 32 3.58328
  16 32 -2.6546
  17 32 0.0670959
  18 32 1.18501
  19 32 -1.0146
  20 32 -1.15098
3900 20 640
  1 32 -0.265926
  2 32 0.376853
  3 32 -0.145389
  4 32 0.458276
  5 32 0.210168
  6 32 -0.402208
  7 32 -0.670931
  8 32 0.136835
  9 32 -0.868116
  10 32 1.02139
  11 32 -0.187951
  12 32 0.647835
  13 32 1.45447
  14 32 0.185679
  15 32 2.51437
  16 32 -1.30914
  17 32 -0.243034
  18 32 0.406646
  19 32 -0.955691
  20 32 -0.503596
4000 20 640
  1 32 -0.168379
  2 32 -0.0635186
  3 32 -0.683379
  4 32 0.79502
  5 32 0.0601804
  6 32 -1.00426
  7 32 -0.237428
  8 32 -0.201585
  9 32 -0.371389
  10 32 0.359429
  11 32 0.378899
  12 32 -0.0252364
  13 32 0.0579844
  14 32 0.638587
  15 32 0.865602
  16 32 0.311765
  17 32 -0.379154
  18 32 -0.38371
  19 32 -0.723202
  20 32 -0.498286
4100 20 640
  1 32 -0.0280462
  2 32 -0.143202
  3 32 -1.11863
  4 32 0.425048
  5 32 0.415213
  6 32 -1.37001
  7 32 0.235138
  8 32 -0.288181
  9 32 0.203245
  10 32 0.155742
  11 32 0.743802
  12 32 -0.549604
  13 32 -0.824683
  14 32 0.819379
  15 32 -1.47617
  16 32 2.00781
  17 32 -0.338677
  18 32 -0.934973
  19 32 -0.938715
  20 32 0.0182663
4200 20 640
  1 32 -0.132405
  2 32 -0.417433
  3 32 -1.41699
  4 32 1.02318
  5 32 0.649795
  6 32 -1.58359
  7 32 0.665385
  8 32 -0.149216
  9 32 0.719164
  10 32 -0.277342
  11 32 1.10338
  12 32 -0.658342
  13 32 -1.65382
  14 32 1.08014
  15 32 -3.35688
  16 32 3.62415
  17 32 0.284669
  18 32 -1.70212
  19 32 -0.835654
  20 32 0.907388
4300 20 640
  1 32 -0.262795
  2 32 -0.913316
  3 32 -1.04898
  4 32 1.45136
  5 32 1.11278
  6 32 -1.14034
  7 32 1.02849
  8 32 -0.929988
  9 32 1.32039
  10 32 -0.58167
  11 32 1.03936
  12 32 -0.702225
  13 32 -1.70952
  14 32 1.21095
  15 32 -4.80352
  16 32 4.19632
  17 32 0.419443
  18 32 -2.3654
  19 32 -0.608979
  20 32 1.04406
4400 20 640
  1 32 0.116327
  2 32 -0.550168
  3 32 -1.1586
  4 32 1.67454
  5 32 1.30653
  6 32 -0.922693
  7 32 0.987936
  8 32 -1.02004
  9 32 1.32397
  10 32 -0.889228
  11 32 0.580428
  12 32 -0.798597
  13 32 -2.31942
  14 32 1.02256
  15 32 -4.95687
  16 32 3.79002
  17 32 0.414337
  18 32 -2.3409
  19 32 -0.490278
  20 32 0.824741
4500 20 640
  1 32 -0.16255
  2 32 -0.559222
  3 32 -0.444487
  4 32 1.21761
  5 32 0.860146
  6 32 -0.66024
  7 32 0.626959
  8 32 -0.318955
  9 32 0.552347
  10 32 -0.563884
  11 32 -0.141103
  12 32 -0.549567
  13 32 -1.69443
  14 32 0.460339
  15 32 -4.09233
  16 32 3.09206
  17 32 0.374833
  18 32 -2.08116
  19 32 -0.180022
  20 32 0.430649
4600 20 640
  1 32 0.134028
  2 32 -0.376923
  3 32 0.0998376
  4 32 0.674589
